streams;artist_name;track_name;date
141381703;Marina Rei;Musica;14.7.2023
133716286;Stive Morgan;Love Planet;23.3.2023
140003974;unknown;Loving Every Minute;30.6.2023
800840817;Rixton;Me And My Broken Heart;23.8.2019
303236322;Henry Hall & His Gleneagles Hotel Band;Home;18.5.2023
0;unknown;unknown;1.6.2023
725980112;unknown;Riviera;16.3.2023
58149378;Andrew Paul Woodworth;The Name of This Next Song Is Called;7.7.2023
95217315;Pillar Point;Dove;15.5.2023
553634067;Steve Campbell;Morning Dew;17.3.2023
505671438;David Civera;Bye Bye;17.4.2023
58255150;Lumipa Beats;Cludo;7.7.2023
1316855716;Henning Wehland;Räuber und Gendarm;12.1.2023
387570742;Пётр Каледин;Пойти и не вернуться. Глава 1;14.4.2023
2513188493;ChinKong;Live Life;31.3.2022
1163093654;Albatraoz;General Zod;8.12.2022
496795686;Pugs Atomz;No Love;24.2.2023
30546883;Zak Moore;Feel Good;13.7.2023
335222234;Kendra Springer;Sonora;31.3.2023
363369738;Nathalie Cardone;Hasta Siempre;24.3.2023
86444842;Snowday;Patterns;22.6.2023
52135248;Swords;I Didn't Understand;7.7.2023
1297026226;Montezuma's Revenge;My God Is a Bad Cop;1.1.2013
200647221;unknown;Lightspeed;31.5.2023
115364561;Музыка для изучения;Инструментальная музыка;2.6.2023
78300654;A-Life;Don't Hurt Me;22.6.2023
899183384;Peter Holzmann;The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace;25.3.2022
61245289;Heathers;Forget Me Knots;29.6.2023
429829812;IRISHA;You Lose;31.1.2023
127408954;Tigerlily;KICK BOOM;25.5.2023
22581161;Orinoco Haven;Don't Dream It's Over;13.7.2023
52294266;unknown;La Tortura;28.6.2023
843957510;unknown;It's So Easy!;2.12.2022
999748277;Yngnfrsh;Future Baby Mama;21.10.2022
618990393;Sen-dla & Lotus;Nochmal Von Vorn;23.2.2023
123122413;Merwan Rim;Sofia;1.6.2023
188933502;Watchout! Theres Ghosts;Never You;7.4.2023
1355959075;The Jeremy Spencer Band;Cool Breeze;1.1.2014
786181836;The Rubix Cube's;"Girls Just Want to Have Fun (From ""Bioshock Infinite"")";1.1.2014
176553476;Luca Turilli's Rhapsody;Il Cigno Nero;19.5.2023
354495408;Мария  Матвеева;Принцесса Укок;10.2.2023
2808096550;Lou Reed;Ride Into the Sun;9.10.2018
1109433169;Emanuel Borok Cullan Bryant;Love's Sorrow;26.8.2022
1047101291;Echoes The Fall;Eye Of The Tiger;21.7.2017
65156199;Psycho 44;All My Demons Have Distortion;23.6.2023
570515054;Чёрный Кузнец;Дубль один;27.11.2020
1085685420;unknown;Born to Party;13.5.2022
1647990401;Ming;Claim Earth;24.11.2016
2565529693;Zcr;Разбегается на куски;21.9.2016
518745108;Limousine;A Drive;24.2.2023
107753850;Дуэт «Алмас»;Люби меня люби;2.6.2023
