streams;artist_name;track_name;date
456592500;Marina Rei;Musica;14.7.2023
317580434;Stive Morgan;Love Planet;23.3.2023
280974615;unknown;Loving Every Minute;30.6.2023
260402500;Rixton;Me And My Broken Heart;23.8.2019
173926428;Henry Hall & His Gleneagles Hotel Band;Home;18.5.2023
521789285;unknown;unknown;1.6.2023
521734285;unknown;Riviera;16.3.2023
128165087;Andrew Paul Woodworth;The Name of This Next Song Is Called;7.7.2023
456555000;Pillar Point;Dove;15.5.2023
292171600;Steve Campbell;Morning Dew;17.3.2023
384452631;David Civera;Bye Bye;17.4.2023
429730000;Lumipa Beats;Cludo;7.7.2023
221322727;Henning Wehland;Räuber und Gendarm;12.1.2023
178160243;Пётр Каледин;Пойти и не вернуться. Глава 1;14.4.2023
429457647;ChinKong;Live Life;31.3.2022
365165000;Albatraoz;General Zod;8.12.2022
429651764;Pugs Atomz;No Love;24.2.2023
405859444;Zak Moore;Feel Good;13.7.2023
347830000;Kendra Springer;Sonora;31.3.2023
251874482;Nathalie Cardone;Hasta Siempre;24.3.2023
487017333;Snowday;Patterns;22.6.2023
292216400;Swords;I Didn't Understand;7.7.2023
191237368;Montezuma's Revenge;My God Is a Bad Cop;1.1.2013
429708235;unknown;Lightspeed;31.5.2023
173930000;Музыка для изучения;Инструментальная музыка;2.6.2023
384487368;A-Life;Don't Hurt Me;22.6.2023
93598974;Peter Holzmann;The Seasons Op. 37A  (August  The Harvest): VIII. Allegro vivace;25.3.2022
317623043;Heathers;Forget Me Knots;29.6.2023
521702857;IRISHA;You Lose;31.1.2023
405832222;Tigerlily;KICK BOOM;25.5.2023
214866764;Orinoco Haven;Don't Dream It's Over;13.7.2023
429724705;unknown;La Tortura;28.6.2023
365162000;unknown;It's So Easy!;2.12.2022
304284166;Yngnfrsh;Future Baby Mama;21.10.2022
235615161;Sen-dla & Lotus;Nochmal Von Vorn;23.2.2023
487003333;Merwan Rim;Sofia;1.6.2023
228265625;Watchout! Theres Ghosts;Never You;7.4.2023
213843235;The Jeremy Spencer Band;Cool Breeze;1.1.2014
98252297;The Rubix Cube's;"Girls Just Want to Have Fun (From ""Bioshock Infinite"")";1.1.2014
202914444;Luca Turilli's Rhapsody;Il Cigno Nero;19.5.2023
251860000;Мария  Матвеева;Принцесса Укок;10.2.2023
291523600;Lou Reed;Ride Into the Sun;9.10.2018
182556500;Emanuel Borok Cullan Bryant;Love's Sorrow;26.8.2022
234956129;Echoes The Fall;Eye Of The Tiger;21.7.2017
192243947;Psycho 44;All My Demons Have Distortion;23.6.2023
317212608;Чёрный Кузнец;Дубль один;27.11.2020
365060500;unknown;Born to Party;13.5.2022
485416666;Ming;Claim Earth;24.11.2016
316548260;Zcr;Разбегается на куски;21.9.2016
456505000;Limousine;A Drive;24.2.2023
280963846;Дуэт «Алмас»;Люби меня люби;2.6.2023
260874642;Ricardo Piedra;Shooting Stars;6.4.2023
332003636;Лінія Маннергейма;Навчи;24.2.2023
208719714;Hellogoodbye;Finding Something To Do;15.6.2023
177225365;The Contemporary Noise Sextet;Bitches Tune;15.10.2012
135041666;The Rock Kid Heroes;Bawitdaba (Made Famous by Kid Rock);29.11.2019
169862325;Meditation Spa Society;From the End of Light;24.2.2023
162252000;Red Nose Rudolph;Rudolph the Red Nose Reindeer;26.5.2022
104364000;Sweet Dreams Project (Dj Sergey Zevs and Kristina Dolce);Me Is Not Pain;14.7.2023
303942916;Matt Sadler;The Biker Bar;24.7.2020
192230789;Loon;Do What You Like (Featuring Trina);4.5.2023
304327916;Domo Wilson;I Wanna Be Me;3.2.2023
384296315;Blex;Promesa de Amor;24.6.2022
270531851;Cypress Spring;Bootleg Style;24.3.2023
187247948;Кооперативыништяк;Солнце похожее на тебя;6.10.2022
313733913;Lionrock;Packet Of Peace;1.1.1999
317513913;Shirley Holmes;1 + 1 + 1;21.10.2022
608603333;KHARO;Wrap Em;2.12.2022
280980000;Koufequin;Vamos a la Música;14.7.2023
456588125;PUNXXX;Не по пути;7.7.2023
317620434;NeuRuTics;Северный олень;23.6.2023
270161851;Ritmo Natural;Cumbia Cha Cha;28.6.2020
235543225;Kake Randelin;Rakkautta ja rahaa;15.7.2022
220142424;Serious Black;I Seek No Other Life;14.5.2012
486783333;Ana Cañas;Eu Dou;6.7.2022
219659090;Jennifer Warnes;Up Where We Belong;1.1.2008
260780714;Delroy Edwards;Killer Charlie;17.7.2022
243417666;Otherland;Wiggle - Jason Derulo;22.9.2022
331973636;Maurice Moore;Take Time;20.12.2022
166028636;Aaliyah Palmen;Cold (Reprise Maroon 5 Future);22.6.2023
475214666;Dadafon;Slow Day;1.1.1975
146020000;Blinding Lights;"Zombie (From ""Pitch Perfect 3"")";22.4.2022
280971923;Stephen Provost;Station One;23.6.2023
521815000;unknown;Kaddish;7.7.2023
317310000;Saltimbankya;Gipsy Queen;9.7.2021
280928846;Susanna Hoffs;Eternal Flame;3.3.2023
728839000;Sds;Trinity;8.11.2018
347673333;Walter Kemp3oh!;Intuit;6.5.2022
404224444;Trst.;Throw Yo Body;22.6.2015
220153636;D. Rogers;When It’s Done It’s Done;20.6.2012
214834117;Tapani Kansa;Anna Mun Jäädä Sun Luo;24.3.2023
405793888;Sofi Lapina;Gravity;17.3.2023
270529259;Nino Nardini;La joie d'aimer;17.3.2023
251197931;Витя CLassic x Kaip;Целлофанка;8.11.2017
260505000;Ameritz - Tribtues;All I Want;5.6.2020
228276562;Francis Lay;Un homme et une femme;12.5.2023
347823333;Christian;Se te ne vai;17.3.2023
292132400;Openfieldz;Spanish Lullaby;9.12.2022
315639565;Acoustic Café;Je Te Veux;1.1.2011
149084285;Circle of Song- Kate Marks and Friends;Shiva Dance;9.6.2023
345874285;Ils;Feed The Addiction;1.1.2012
429602352;Kevin Over;Djengis;2.12.2022
187296666;We Are Action;At Least We're Still Alive;14.4.2023
516724285;TaRuta;ШевченкА;1.1.2004
169893255;Gregg Kofi Brown;Lullaby to an Anxious Child;7.7.2023
486732000;Ayla;Sessiz Gemi;20.4.2022
364238000;Pranayama;Musica yoga;10.11.2017
383305263;110% Hits;110% Intro;28.4.2017
243231000;The Kovenant;Stillborn universe;11.3.2021
453731875;Summer Love;Бейба;1.1.2011
518811428;ZOLOTO;В текиле;1.1.2012
456452500;O.S.T.R.;Prędkość;2.12.2022
158810000;Nadine Bryant;Everybody's Looking For Something;22.6.2023
384495263;Skaльпель;Телефон 02;7.7.2023
358261000;Ivan Spell;Sunday 7AM;17.2.1985
559545384;OB;Butterflies;9.12.2014
260860357;Martin Stock;Song for Marilyn;25.2.2023
280920000;Катя Разумовская;Кареглазый;8.2.2023
317602173;Sin Ensayo;Toda la Noche;12.5.2023
197152162;Christy Baron;The Shadow of Your Smile;24.7.2020
270565185;Любовные истории;Возвращайся;22.6.2023
561863076;unknown;Дзорис;10.3.2023
280840000;Агенты Кремля;Доллары-рубли;15.7.2022
260832500;Gotham City;Swords and Chains;9.12.2022
